Date,Description,Amount
8/1/2022,ATH MOVIL 0209 ON 07/30/22,-455
8/1/2022,TELEPAGO MASTER CARD BANCO POPULAR,-2500
8/1/2022,TELEPAGO MASTER CARD BANCO POPULAR,-1000
8/3/2022,FID INST GUAR NA PAYMENT,250
8/5/2022,LINCOLN NATLIFE PREMPAYMNT,-500
8/8/2022,"TRIPLE S SALUD, HCCLAIMPMT",359.55
8/8/2022,DISCOVER E-PAYMENT,-842.36
8/9/2022,CHEQUE NUMERO 1818,-209.36
8/10/2022,ATH WITHDRAWAL BPPR AEROPUER CAROLINA PR ON 08/10/22,-2696.75
8/11/2022,"TRIPLE S VITAL, HCCLAIMPMT",155.7
8/11/2022,Orlando Util Com PAYMENT,-84.24
8/15/2022,"TRIPLE S SALUD, HCCLAIMPMT",135.9
8/15/2022,TELEPAGO MASTER CARD BANCO POPULAR,-15000
8/15/2022,TELEPAGO MASTER CARD BANCO POPULAR,-1000
8/15/2022,DISCOVER E-PAYMENT,-413.88
8/18/2022,"TRIPLE S VITAL, HCCLAIMPMT",412.54
8/18/2022,ATH MOVIL 9999 ON 08/18/22,-280
8/18/2022,ATH MOVIL 3125 ON 08/18/22,-500
8/19/2022,ATH MOVIL 3125 ON 08/19/22,-90
8/19/2022,DISCOVER E-PAYMENT,-9330.3
8/22/2022,DEPOSITO,105000
8/22/2022,"TRIPLE S SALUD, HCCLAIMPMT",35.77
8/22/2022,ATH MOVIL 5008 ON 08/21/22,-200
8/23/2022,AM NAT INS CO ANICO PYMT,-1683.34
8/25/2022,"TRIPLE S VITAL, HCCLAIMPMT",618.21
8/25/2022,ATH MOVIL 3125 ON 08/24/22,-335
8/26/2022,DEPOSITO,20
8/29/2022,"TRIPLE S SALUD, HCCLAIMPMT",312.52
8/30/2022,DISCOVER CASH AWARD,9.66
8/30/2022,CHEQUE NUMERO 1819,-140000
8/31/2022,INTERESES PAGADOS,6.86
9/1/2022,"TRIPLE S VITAL, HCCLAIMPMT",56.88
9/6/2022,FID INST GUAR NA PAYMENT,250
9/6/2022,"TRIPLE S SALUD, HCCLAIMPMT",48.51
9/8/2022,DEPOSITO CHEQUE ATH,2500
9/8/2022,LINCOLN NATLIFE PREMPAYMNT,-500
9/9/2022,"TRIPLE S VITAL, HCCLAIMPMT",105.1
9/9/2022,Orlando Util Com PAYMENT,-67.17
9/12/2022,DISCOVER E-PAYMENT,-312.26
9/14/2022,ATH MOVIL 3125 ON 09/13/22,-235
9/15/2022,ATH MOVIL 1278 ON 09/15/22,-5
9/15/2022,CHEQUE NUMERO 1825,-3820
9/16/2022,ATH MOVIL 1278 ON 09/15/22,-495
9/19/2022,"TRIPLE S SALUD, HCCLAIMPMT",85.95
9/21/2022,AM NAT INS CO ANICO PYMT,-1683.34
9/22/2022,ATH MOVIL 6094 ON 09/22/22,30
9/22/2022,"TRIPLE S VITAL, HCCLAIMPMT",178.67
9/22/2022,CHEQUE NUMERO 1826,-120
9/26/2022,ATH MOVIL 8333 ON 09/26/22,100
9/26/2022,ATH MOVIL 3628 ON 09/26/22,-260
9/26/2022,TELEPAGO MASTER CARD BANCO POPULAR,-225
9/27/2022,TELEPAGO MASTER CARD BANCO POPULAR,-47.4
9/28/2022,CHEQUE NUMERO 1820,-1835.49
9/28/2022,CHEQUE NUMERO 1821,-2000
9/29/2022,DEPOSITO,50000
9/29/2022,ATH WITHDRAWAL RETIRO ON 00/00/00,-8110
9/30/2022,INTERESES PAGADOS,1.42
10/3/2022,ATH MOVIL 9497 ON 09/30/22,5
10/3/2022,FID INST GUAR NA PAYMENT,250
10/3/2022,ATH MOVIL 3628 ON 10/01/22,-500
10/3/2022,ATH MOVIL 3628 ON 10/02/22,-500
10/3/2022,ATH MOVIL 3628 ON 10/03/22,-120
10/3/2022,DISCOVER E-PAYMENT,-206.05
10/3/2022,DISCOVER E-PAYMENT,-1051.76
10/5/2022,ATH MOVIL 0779 ON 10/05/22,50
10/5/2022,LINCOLN NATLIFE PREMPAYMNT,-500
10/6/2022,"TRIPLE S VITAL, HCCLAIMPMT",819.68
10/6/2022,DISCOVER E-PAYMENT,-69.51
10/7/2022,CHEQUE NUMERO 1822,-178.4
10/11/2022,ATH MOVIL 0036 ON 10/08/22,-60
10/11/2022,ATH MOVIL 2004 ON 10/09/22,-80
